StandID,Year,Standing_Snag_lt3,Standing_Snag_ge3,Standing_Foliage,Standing_Live_lt3,Standing_Live_ge3,Standing_Total,Canopy_Ht,Canopy_Density,Fuel_Mod1,Total_Cover,Tpa,BA,TopHt,RunTitle
Dec_61_2,2019,0.079811499,0.665983319,0.495625764,5.332132339,4,11,-1,0,5,57,1661.669312,37.69181442,30,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_61_2,2019,0.079811499,0.665983319,0.495625764,5.332132339,4,11,-1,0,5,57,1661.669312,37.69181442,30,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_62_5,2019,0.022505596,1.47469902,2.478419542,21.83263206,71,97,3,0.003508991,5,85,2254.810059,206.9497986,78,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_62_5,2019,0.022505596,1.47469902,2.478419542,21.83263206,71,97,3,0.003508991,5,85,2254.810059,206.9497986,78,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Shr_73_2,2019,0.055766787,0.167131796,0.528933108,3.192538977,4,8,2,0.014061769,5,25,520.2999878,27.86689186,21,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Shr_73_2,2019,0.055766787,0.167131796,0.528933108,3.192538977,4,8,2,0.014061769,5,25,520.2999878,27.86689186,21,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Shr_83_1,2019,0.003488596,0,0.003078831,0.025345119,0,0,-1,0,5,0,38.09999847,0.038788557,6,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Shr_83_1,2019,0.003488596,0,0.003078831,0.025345119,0,0,-1,0,5,0,38.09999847,0.038788557,6,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Shr_93_1,2019,0,0,0.061839469,0.598836839,0,1,-1,0,5,7,571.4997559,2.017757416,16,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Shr_93_1,2019,0,0,0.061839469,0.598836839,0,1,-1,0,5,7,571.4997559,2.017757416,16,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
