"Plot_code","Vegetation_type","Shrub_cover_pct","Shrub_ht_m","Shrub_pctDead","Sagebrush_cover_pct","Sagebrush_ht_m","CWD_cover_pct","CWD_Mg_ha","FBFM","TPH_trees","BA_m2_ha","TPH_largetrees","TPH_saps","Sap_ht_m","SH_m","CC_pct","CBH_m","CBD_kg_m3","CFL_kg_m2"
"Con_33_1","Conifer",30.36,0.387701115792759,4.89949748743719,0,NA,4.92,41.7480446983911,"TL4",2034.16968685499,24.864349112426,828.735798348331,1730.76923076923,0.9,21.6408,39,0.3048,0.076026119,0.978896432281
"Con_33_2","Conifer",35.04,0.329353427321342,5.95667870036101,0,NA,8.34000000000001,42.1279946605243,"TU5",2335.52815898166,30.825,640.386753269165,9038.46153846154,0.559090909090909,21.6408,56,0.3048,0.112476364,1.47551062064629
"Con_34_2","Conifer",7.26000000000001,0.626473175021987,27.5471698113208,0,NA,18.02,75.1447640792585,"TU5",3917.66013764665,33.8302662721893,922.910320887914,3269.23076923077,0.591666666666667,18.8976,48,0.3048,0.117678329,1.1912042413525
"Con_41_1","Conifer",17.58,0.676143718740806,2.55474452554745,0,NA,7.48,35.1082481549839,"TU5",2034.16968685499,29.3143195266272,1205.43388850666,7307.69230769231,0.721428571428571,16.764,44,0.3048,0.131826237,1.24082677281387
"Con_42_1","Conifer",8.2,0.818036529680366,0,1.34,0.0917808219178082,4.28,32.4009745659935,"TU5",1092.42446145916,24.3198668639053,376.698090158332,5576.92307692308,0.527272727272727,21.0312,33,0.3048,0.079383783,0.90350829845286
"Con_42_2","Conifer",45.94,0.442741791273444,12.1308016877637,0,NA,23.8,151.203075349797,"TU5",2768.73096266374,35.5939201183432,998.24993891958,6538.46153846154,0.62,21.336,63,0.3048,0.139842913,1.84557275237126
"Con_43_2","Conifer",7.16,0.264702048417132,8.1578947368421,0,NA,4.96000000000001,18.1307484438381,"TL3",1092.42446145916,29.7788165680473,602.716944253331,1346.15384615385,0.7,22.86,54,0.6096,0.094663642,1.10555922934966
"Con_44_2","Conifer",27.94,1.43158108029873,5.37078651685393,0,NA,10.2,90.8508594102652,"TU5",602.716944253331,37.4526183431953,320.193376634582,1346.15384615385,0.38,31.6992,50,0.3048,0.055121213,1.04429534736278
"Con_44_4","Conifer",31.06,1.20243538246594,8.33333333333333,0,NA,13.74,99.2995356857819,"TU5",546.212230729582,34.3533875739645,301.358472126666,384.615384615385,0.45,34.1376,45,0.9144,0.05381934,1.12682625764913
"Con_BerryGlade_Unburned3","Conifer",40.36,1.32687876968813,2.5,0,NA,24.12,87.1238825743046,"TU4",36238.3562732316,9.96082840236686,0,93846.1538461538,0.847058823529412,4.2672,59,0.3048,0.147399768,1.38609497262618
"Dec_51_1","Deciduous",22.74,0.657186059351277,9.95652173913044,0.299999999999997,0.00521739130434779,0,0,"TU1",3164.26395732999,15.9533284023669,809.900893840414,3269.23076923077,0.9875,9.7536,55,0.3048,0.153600767,0.97463366286087
"Dec_51_3-Dense","Deciduous",21.88,0.60671652306949,6.15819209039548,0.640000000000001,0.0170062001771479,4.47999999999998,18.1598537082885,"TU1",5575.13173434332,27.7293343195266,2655.72153561624,0,NA,11.8872,93,-0.3048,0,0.3083175806132
"Dec_52_2","Deciduous",46.26,0.733839425577393,11.4615384615385,0,NA,4.04,15.5703031636195,"TU1",1826.98573726791,8.07300295857988,414.367899174165,7307.69230769231,0.941666666666667,10.0584,40,0.9144,0.016261758,0.19722698886972
"Dec_61_2","Deciduous",26.78,0.778181797692092,4.05594405594406,0,NA,2.84,14.4219087820721,"TU1",3145.42905282207,8.64992603550296,602.716944253331,961.538461538462,0.9,9.144,57,-0.3048,0,0.11110442751588
"Dec_62_5","Deciduous",2.96,0.796734234234233,10.3333333333333,0,NA,9.53999999999999,54.8030841239827,"TU1",1148.92917498291,47.5044822485207,715.726371300831,4423.07692307692,0.936363636363636,23.7744,85,0.9144,0.003508991,0.55558730873014
"Shr_71_1","Shrub",26.98,0.46155738257295,14.5575757575758,26.98,0.46155738257295,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_71_2","Shrub",30.46,0.289596879063719,22.4545454545455,30.76,0.289596879063719,0,0,"GS1",0,0,0,0,NA,NA,0,NA,NA,NA
