"sample_id","Rmax","Rmin","Rmean","Rsd","Rcv","Rhom","Gmax","Gmin","Gmean","Gsd","Gcv","Ghom","Bmax","Bmin","Bmean","Bsd","Bcv","Bhom","NIRmax","NIRmin","NIRmean","NIRsd","NIRcv","NIRhom","NDVImax","NDVImin","NDVImean","NDVIsd","NDVIcv","NDVIhom","file_name","area","rdnbr","age","elev_m","slope_deg","aspect_deg"
21,127,19,52.2846816791771,20.2064462200384,38.6469718684083,0.448582996020095,125,28,68.7675840978593,21.1518011780854,30.7583892259258,0.379031530352244,102,37,58.3897692521546,11.1690860244666,19.1284983097522,0.623529697366655,179,39,114.306088407006,32.0628987502558,28.0500358266924,0.291757309706612,0.670588235294118,-0.0394736842105263,0.378510749999568,0.120366730753141,31.8000824952206,0.503295294271953,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899.25,483,"young",2238.34201550694,15.9030915294216,293.386066207324
1,156,20,63.2819015846539,21.3555769092295,33.7467370203179,0.413497058044465,155,34,80.4620517097581,18.8414441984236,23.4165594812176,0.363580510070157,135,39,64.1162079510703,13.6688898524639,21.3189305626047,0.652142035017247,170,57,126.725326661106,20.1727703255844,15.9184993695311,0.367745131945015,0.615894039735099,-0.168421052631579,0.346193191219159,0.123758113036626,35.74828049067,0.546969600120551,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.25,949,"young",2275.6540206955,14.3719368358895,33.3554871535349
5,127,18,52.4573255490687,17.7279583136643,33.7950098067457,0.435131782053838,128,29,72.0450375312761,21.1437601663247,29.3479757813241,0.348930051191814,104,35,56.078676675007,9.42927444137753,16.8143668867635,0.640020915361983,179,48,129.448985265499,28.6708716117175,22.1483942519238,0.313567545456954,0.706293706293706,0.0693069306930693,0.430087130191076,0.101974719027724,23.7102465685079,0.500833519943512,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.25,1035,"young",2243.8588290914,11.8199636775592,33.8857779527657
12,137,16,51.7750278086763,17.3019249131879,33.4175096479397,0.447020254893985,139,27,71.599276974416,20.5346449549784,28.6799613385982,0.356579406613942,118,35,56.3167408231368,9.50107573446009,16.8707840609923,0.648244607994178,185,47,130.39126807564,27.0900547616059,20.7759730857829,0.341998691168484,0.682352941176471,-0.00892857142857143,0.439100825323116,0.103208666503963,23.5045485118402,0.527159613376121,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899,912,"young",2234.07190313907,9.11301971556152,219.405557401781
17,93,12,36.9363535297387,11.3002152087373,30.5937487836722,0.504505933819716,117,25,57.754585881045,16.000732358595,27.7046958514274,0.383361158174889,85,35,50.1739855475264,6.10835086168465,12.1743385442215,0.735337098515406,163,28,96.0864369093941,27.344231766061,28.4579516585109,0.304232296427337,0.694656488549618,-0.0458715596330275,0.440931938883863,0.085618103460718,19.4175327097974,0.518993729634358,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.5,1023,"young",2163.3813606279,23.9358080683805,310.932748865999
29,181,18,120.402947719689,41.2888435690513,34.2922198758591,0.498733452612343,178,33,125.002780867631,35.5527932084259,28.4416018281016,0.537003338943006,165,38,114.175194660734,32.6184228573032,28.5687473134837,0.636342545952885,174,27,123.949666295884,30.4461762689804,24.5633386348143,0.556926810882698,0.570621468926554,-0.194174757281553,0.0355566883481332,0.148821063832191,418.545907242804,0.69926834830883,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899,395,"young",2125.71897796558,35.0318394108015,121.394607544395
32,166,14,52.2448582545859,28.5447391839301,54.6364563663537,0.481315613241427,162,24,69.0653140633685,28.5261910936932,41.3032091152441,0.443979608739743,139,31,58.508615897721,17.800778978772,30.4242011294363,0.604773084118506,189,26,113.344635908838,41.0735104932667,36.2377188509403,0.384318393188485,0.777777777777778,-0.0303030303030303,0.385354390244156,0.147853050353853,38.3680721167274,0.474757686570703,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.5,979,"old",2101.53165344238,18.8753683941073,106.772147634319
33,117,13,46.8488048916064,23.3615962306396,49.8659384901943,0.482242205839191,130,26,61.7184546970539,25.2541146566554,40.918254970277,0.454088282244068,106,30,53.1495275152863,13.5637125888481,25.5199118843475,0.634699844591739,173,24,88.1359088382435,37.3708378549968,42.4013757248294,0.377291708432802,0.698412698412698,-0.0630630630630631,0.312259005374602,0.120981969760161,38.7441091138508,0.476476232181916,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.5,1130,"old",2172.29753155552,10.806627980015,315.217540237381
35,146,15,79.8541261461517,29.2367823654881,36.6127384726219,0.520978593174381,138,24,85.4517921644901,23.773571643961,27.8210334058274,0.539276213272086,116,32,69.7727146429564,15.6792658499221,22.4719160350241,0.666772942778561,162,28,112.383717699361,29.7055827578998,26.4322834001323,0.563155595607298,0.619834710743802,-0.0481927710843374,0.187449379531237,0.12842688305996,68.5128344415557,0.64023166723387,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.75,325,"old",2114.13997821793,3.94540416776857,82.7620640286265
36,152,14,49.8354184042257,25.1208235378772,50.4075702427474,0.429485590436638,152,25,65.4690019460662,25.3110889104861,38.6611803420153,0.396082056625043,133,34,60.4067278287462,16.8622301181333,27.9144901970819,0.57118366844288,188,28,102.350569919377,36.0153800546593,35.1882555055913,0.326322982611162,0.725190839694656,-0.123809523809524,0.355825861525907,0.157271293426164,44.1989496636723,0.439009693529792,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.25,927,"old",2094.55281958352,3.60024431773052,297.038295899754
42,144,16,55.7558398220245,25.1031010466754,45.0232677452366,0.433975050769103,151,28,70.4677419354839,24.8981192941379,35.3326481171103,0.42397688504193,146,36,63.4610678531702,16.1749952933459,25.4880603817918,0.592799560466954,176,33,105.006117908788,33.9600758209582,32.3410449765006,0.377411137032418,0.706666666666667,-0.104761904761905,0.317088886352448,0.141230991826824,44.5398744344022,0.463505016492992,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899,1075,"old",2087.88304063341,7.68104546091598,89.3559440460476
48,167,18,84.4473172087851,40.5829711715788,48.0571467667145,0.411400184490854,162,31,90.9260494856825,34.0999166927828,37.5029124059242,0.446170571266924,139,34,73.0597720322491,21.4196908476828,29.318036796266,0.572975821843224,179,33,122.142896858493,40.2942960955396,32.9894714567168,0.489548420693686,0.658119658119658,-0.145374449339207,0.211104066095827,0.133056315773786,63.0287792341182,0.555937176109884,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.25,163,"old",2068.24266479492,1.50928888329857,139.877084205904
53,152,13,56.8579766536965,27.6308544244912,48.5962674908074,0.427145109079305,150,26,71.0694830461367,27.1052511987279,38.1390859155846,0.423295848586006,142,34,63.3621456364647,17.4362106338081,27.5183399467673,0.600413942624744,175,25,100.932462479155,36.5556635602832,36.21794481417,0.379069224593561,0.666666666666667,-0.0738255033557047,0.294984711466502,0.130714470547635,44.3122865242048,0.484434611428275,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.5,1310,"old",2169.03266151894,4.47703995046933,48.8780657338517
