"sample_id","x_ctr","y_ctr","age","rdnbr","elev_m","slope_deg","aspect_deg","zmax","zmean","zcv","zp10","zp25","zp50","zp75","zp90","zp99","zfcc","zfsc"
20,521064.534972525,4875824.57124893,"young",709,2251.34607031328,14.6415364052527,73.7251837823782,"9.27","3.19845944474687","69.3918173543749","0.18","0.65","3.37","4.86","6.084","7.92199999999999","54.2781921895568","21.5884159719175"
21,525038.124580237,4878784.62884201,"young",483,2238.34201550694,15.9030915294216,293.386066207324,"12.14","1.59051475634866","78.6412283526632","0.13","0.33","1.62","2.38","3.12","4.7688","22.4287484510533","37.5877736472532"
22,519528.622200466,4875520.65526083,"young",562,2338.97332934707,16.365963293313,201.187579988964,"9.37","2.30182460414129","86.663973279705","0.09","0.3","2.07","3.68","5.12","7.57","42.8571428571429","40.0656814449918"
23,527237.738906885,4877045.46751363,"young",789,2372.18423794889,15.3732533284039,198.514396233502,"9","1.211796875","144.382208640706","0.12","0.2","0.34","1.5925","4.103","7.1193","15.4103053435115","51.1450381679389"
24,527144.855138257,4876486.03661429,"young",766,2311.77968275106,8.20795220015031,264.629901915726,"8.38","3.13831392640894","65.3655425056482","0.19","0.785","3.48","4.69","5.71","7.2808","56.5396113602392","19.1704035874439"
25,519804.377836621,4878166.72893822,"young",951,2365.68303802105,8.67025877936501,119.34132489881,"15.59","3.33552144249513","67.0240045054472","0.2","1.51","3.485","4.91","5.99","8.1443","52.372393961179","19.9496764917326"
26,523200.40227821,4878462.95555633,"young",235,2135.56218383789,28.4209267965328,279.336979619438,"15.77","2.04788801571709","130.466914768655","0.047","0.23","0.56","3.4125","5.503","13.265","20.0107296137339","33.5300429184549"
27,525004.656002046,4878234.60980652,"young",510,2247.37437130918,13.488010970212,269.469470228748,"10.7","1.69917840375587","102.690095314574","0.101","0.21","1.36","2.64","3.999","7.4347","16.3654618473896","25.8032128514056"
28,522808.752931177,4876918.07187781,"young",969,2140.18472167969,20.6645555846168,276.804349928044,"9.4","1.78516069221261","106.993668151233","0.1","0.24","0.625","3.13","4.783","6.6783","28.1855020261144","43.8090950022512"
29,523007.468979038,4880611.23809207,"young",395,2125.71897796558,35.0318394108015,121.394607544395,"29.29","7.4603156996587","99.0130016760324","0.1","0.36","5.75","13.35","18.27","24.6622","32.6823664560597","23.1476163124641"
30,520270.841036989,4868436.99270598,"young",14,2650.02914306543,27.4259164180436,22.8764380137945,"20.3","2.05095742631478","193.296470149395","-0.04","0.15","0.43","1.1","9.25","18.404","12.5019509911035","65.7093803652255"
31,522811.559796875,4878038.16987422,"old",215,2073.26750225172,9.49822060802239,309.144886496499,"24.59","7.14265452337584","91.6113233521916","0.18","0.53","5.97","12.68","16.8736","21.4094","49.6166484118291","24.6987951807229"
32,522103.677686535,4879408.76192648,"old",979,2101.53165344238,18.8753683941073,106.772147634319,"24.42","6.88913082437276","87.6392096737869","0.31","1.98","5.17","10.6925","16.446","22.4627","59.3482905982906","16.2393162393162"
33,522604.704174966,4881031.58196108,"old",1130,2172.29753155552,10.806627980015,315.217540237381,"20.43","8.69392685851319","74.4196974267025","0.21","1.4175","9.895","14.2425","16.993","19.3433","49.6900333810205","16.8335717691941"
34,521523.258018458,4878469.42522152,"old",1280,2174.56968521933,10.9951298446163,60.1461381500883,"22.86","5.34919230769231","108.889630787178","0.21","0.58","3.115","7.8125","15.942","20.7281","48.3795209018318","26.820103334899"
35,521238.718803015,4880240.03091441,"old",325,2114.13997821793,3.94540416776857,82.7620640286265,"22.3","5.9223128342246","103.953386419421","0.19","0.47","2.97","10.9","15.72","20.0905","35.4822073233626","33.1098504383703"
36,523787.612667372,4881824.42183709,"old",927,2094.55281958352,3.60024431773052,297.038295899754,"26.12","7.07254376657825","111.972752073305","0.1936","0.88","3.28","13.95","20.586","24.19","49.9071494893222","26.230269266481"
37,522225.794929444,4875615.25402809,"old",415,2091.30483480518,11.1296875966874,49.9741136884296,"24.42","9.78318465045593","68.5942108696194","0.23","3.4425","9.905","15.8225","18.43","21.791","49.8117267348037","9.84400215169446"
38,517944.749194088,4871911.06313388,"old",905,2414.9703704834,18.6013629908469,106.598211356497,"38.61","17.2462506070908","66.0262420381195","0.45","6.44","18.09","27.23","31.854","36.3424","76.9034608378871","14.08014571949"
39,517736.885026595,4874722.38391804,"old",15,2343.60440487052,9.56855149315568,8.80784589253077,"27.68","11.4491160666308","67.0142963491165","0.23","3.9225","12.99","17.4175","20.967","25.7958","69.0241956926349","14.5174155809625"
40,517986.866811991,4872976.74543061,"old",987,2202.51142066536,5.60096058981278,333.527088233501,"24.75","8.95533662092624","65.7652679373623","0.27","3.7075","9.56","13.75","16.48","20.9537","78.2420091324201","13.4246575342466"
41,523608.633147661,4876681.7587955,"old",990,2283.40597095423,27.7427312570486,109.52216736031,"37.71","12.0699436985708","87.4220907273261","0.21","0.59","11.76","20.34","27.486","34.2776","55.3364766395199","25.1178739819974"
42,523901.458676762,4881116.1558289,"old",1075,2087.88304063341,7.68104546091598,89.3559440460476,"22.25","7.083631183469","74.6140168587227","0.21","2.57","6.98","10.68","14.322","19.6604","55.8823529411765","11.3659022931206"
43,522216.008798562,4874917.73344768,"old",320,2146.92990410395,5.12964805624215,312.600134052668,"22.77","12.5337902264601","55.249436937713","0.3","6.54","15.43","17.73","19.44","21.302","80.6437389770723","5.8641975308642"
44,518807.943294428,4872229.34190274,"old",820,2413.0474039795,18.2967007896376,56.8150305078805,"34.34","13.5614113631801","78.9379772857892","0.23","1.93","12.93","23.49","28.36","32.242","69.6092619392185","21.3217559093102"
45,524803.359205662,4877022.50063166,"old",532,2236.52844070928,2.2884773968639,321.275868853654,"24.57","7.28128846153846","85.8916914966988","0.259","1.0675","6.055","12.4625","16.333","20.511","48.644251626898","20.8785249457701"
46,521448.068050321,4869077.34409945,"old",1215,2351.19168000416,28.4929774045297,44.8205921051756,"35.95","12.0717571831922","76.7074163040583","0.35","2.89","11.84","19.03","25.21","31.15","68.8130196355917","18.2557933840439"
47,518618.997705783,4874922.6454644,"old",203,2264.66805737957,8.74226598196047,241.033118873143,"27.13","9.73083934426229","64.4989363461659","0.5","4.34","10.1","14.73","18.01","23.1082","76.8663388466696","10.8627626285203"
48,522842.1435459,4880312.66044234,"old",163,2068.24266479492,1.50928888329857,139.877084205904,"26.699","7.37961416729465","101.148520183232","0.12","0.19","5.68","12.905","18.74","24.414","39.0423572744015","25.7826887661142"
49,524627.026225101,4875844.64092203,"old",415,2231.05363554293,6.51542546399573,252.660446360136,"23.09","8.99029104477612","65.2192158788773","0.23","4.08","9.515","13.37","16.61","20.89","48.08552958727","8.25459970164097"
50,519221.602693422,4874776.04795333,"old",335,2373.46480778733,20.7699525463387,9.40153326928429,"21.7","10.3138795824229","69.2418806794208","0.24","1.13","12.75","16.56","18.43","20.7182","69.64755391899","19.7001578116781"
51,521392.395749803,4875301.60131795,"old",263,2187.78618705511,8.17455416437349,103.031007623846,"30.28","11.1251655933763","72.9751117078597","0.26","2.6225","11.745","17.3675","21.945","27.5927","59.2428513894482","16.0289971808296"
52,520633.918893895,4875090.61770666,"old",696,2247.01427612305,7.51906171986218,171.977707693344,"25.73","9.50071987480438","77.7098493842314","0.258","2.75","8.7","15.5","20","24.26","39.087656529517","9.66010733452594"
53,523226.224728566,4880766.97616679,"old",1310,2169.03266151894,4.47703995046933,48.8780657338517,"19.8","6.69308516638466","77.2653892611616","0.18","1.39","6.58","11.27","13.798","16.4556","51.2669683257919","15.2941176470588"
54,525634.963611112,4875641.3527996,"old",1248,2239.30330739201,8.10407463021003,258.825030183113,"23.08","9.88987055016181","69.535840645376","0.16","1.2875","11.75","15.6","17.777","20.7694","56.086357372531","14.1479099678457"
55,518738.226883959,4875698.0151241,"old",646,2429.57965969245,17.840622852303,213.722955917521,"28.53","11.144373605948","73.7031122480498","0.21","2.2075","12.165","18.115","21.902","26.5147","71.8684977111944","20.3703703703704"
56,522077.250366116,4872747.37300814,"old",317,2090.07729590089,1.86182371808867,116.792550492141,"24.48","10.7683644859813","67.7432365178766","0.31","3.98","10.72","18","20.06","22.684","71.9335604770017","9.07155025553663"
57,526219.848072609,4875794.63102062,"old",655,2220.15362642879,2.08842499345035,175.899268385574,"22.31","5.3184620505992","95.2663637941633","0.15","0.7025","4.075","7.72","12.493","20.4","45.1979972690032","18.3887118798361"
58,526021.552083378,4876459.17216639,"old",932,2245.88706273866,2.87547075512251,105.98144742653,"28.31","10.6323272552783","75.4733433831139","0.21","1.17","11.79","17.3025","21.044","25.3034","56.9137407889033","17.641959254443"
59,520220.937699504,4871212.65479532,"old",426,2440.13773338006,27.4478741100986,28.6456456891062,"39.39","13.6742889647327","91.3224408422278","0.15","0.5","12.09","24.745","32.056","37.3766","55.5555555555556","28.5115303983228"
60,519952.029618368,4878765.09075649,"old",1132,2332.97584041458,4.84960727094669,325.495007334375,"32.77","9.89155172413793","88.2753155045722","0.44","2.06","7.495","16.2075","23.427","30.8868","68.6046511627907","19.8424606151538"
