"sample_id","Rmax","Rmin","Rmean","Rsd","Rcv","Rhom","Gmax","Gmin","Gmean","Gsd","Gcv","Ghom","Bmax","Bmin","Bmean","Bsd","Bcv","Bhom","NIRmax","NIRmin","NIRmean","NIRsd","NIRcv","NIRhom","NDVImax","NDVImin","NDVImean","NDVIsd","NDVIcv","NDVIhom","file_name","area","rdnbr","date","weather","prev_fire","elev_m","slope_deg","aspect_deg"
67,136,13,43.5780250347705,17.1788106980643,39.4208105676141,0.546099829302392,138,25,58.0005563282337,20.6622951124023,35.6243050419574,0.504586190548399,132,33,52.6573018080668,11.0235973410776,20.9346034881507,0.705451254047753,168,27,92.6614742698192,35.4514764513171,38.2591327525036,0.387908392973093,0.648148148148148,-0.154761904761905,0.354288869919553,0.103546738132667,29.2266415696827,0.573678458295943,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",898.75,1132,"911","extreme","none",2091.42849208313,3.05522444999057,223.502447325537
79,191,18,61.126842837274,33.9825897339618,55.5935627567532,0.536639922747747,189,31,72.7543810848401,30.9477727898229,42.5373322243429,0.522748237026835,183,36,66.8547983310153,24.685073773504,36.9234137111324,0.657236142473897,170,26,93.967454798331,40.4640967435022,43.061820531741,0.480852475092142,0.586776859504132,-0.317365269461078,0.212749362287429,0.184882239237937,86.9014305143521,0.558759596647149,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",898.75,13,"911","extreme","none",2084.5490625,0.525414696182423,303.467105664351
88,152,17,53.9730330831248,22.2474354186168,41.219538995248,0.521348564802606,148,29,66.5935501807061,22.5446520864396,33.8541075303287,0.499652704777084,134,38,59.3130386433139,13.5289365495703,22.8093802965115,0.682030085357086,170,31,98.3678065054212,33.8098720863996,34.3708712103245,0.405182825062786,0.570093457943925,-0.0693069306930693,0.292310107071996,0.119199775428888,40.7785336685364,0.545805626804624,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899.25,585,"911","extreme","none",2084.92326397047,0.678754014295963,297.904952406107
97,144,17,48.011673151751,25.3756186338973,52.8530187933512,0.601418005522853,138,29,61.6592551417454,25.3682483676802,41.1426448622553,0.565890853411027,106,38,56.6603668704836,13.4144077531278,23.6751163009427,0.710609609780404,172,28,88.4266259032796,42.1546332254685,47.6718780060397,0.452272435859671,0.58974358974359,-0.0540540540540541,0.286752627409566,0.123095967074203,42.9275812348135,0.567202746426966,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899.5,132,"911","extreme","none",2075.58335427084,4.73061638066884,273.532516080674
99,101,15,47.1273283291632,15.0168581910184,31.8644377337335,0.58778461274974,109,27,60.0125104253545,16.6967691937767,27.8221475412942,0.566595184830819,100,37,56.0108423686405,10.4565228529628,18.6687477116346,0.697971245914634,174,36,93.619405059772,29.0348260715896,31.0136835980234,0.436446776146024,0.647058823529412,-0.0580645161290323,0.325306348052888,0.111475357856717,34.2678089511472,0.563160659683641,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899.25,956,"911","extreme","none",2108.39915156544,3.4201966284516,136.140373164309
52,128,14,44.9566184649611,25.0455120222434,55.7104001088599,0.541627963905407,130,24,61.3754171301446,27.3264465932596,44.5234393035811,0.500551293939659,105,31,53.2466629588432,15.1787880865443,28.5065527923819,0.640447801730127,174,23,90.0531145717464,44.3460499175181,49.2443266714413,0.443168765246646,0.70873786407767,-0.04,0.331619649955645,0.127029766373606,38.3058622704042,0.517103424519553,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899,815,"911","extreme","none",2143.96801022434,10.75078218702,86.6644008109342
58,164,26,115.594271412681,22.8668215472736,19.781967798073,0.439019095673534,162,37,118.493604004449,18.8251367248661,15.8870488268373,0.464380874612926,152,47,110.30617352614,18.4607986192365,16.7359613964505,0.571754973196478,171,55,124.949944382647,15.4884585321475,12.3957306333131,0.512017136091476,0.577777777777778,-0.155963302752294,0.0464173640692606,0.112209346978779,241.740023865528,0.63237365283132,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899,893,"911","extreme","glade",2099.33526535224,2.86244661039845,116.578639626954
63,169,15,71.9399666481379,39.0264875614775,54.2486873150193,0.531909442810763,156,25,80.2184546970539,32.481479484198,40.4912804751286,0.534876672244898,126,32,64.3426903835464,19.8770649233887,30.8924989068714,0.695217506964268,174,23,110.198721511951,44.3329923443954,40.2300423599628,0.534042247423341,0.668965517241379,-0.325301204819277,0.23346239254753,0.145887813158193,62.4887852669856,0.613558029917781,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.5,204,"911","extreme","none",2101.75949792566,4.67759750466076,66.931586066755
70,155,17,69.292662590328,28.7258901640892,41.4558902634791,0.419277346817237,157,30,84.8465814341301,26.4597055339838,31.1853525348285,0.390077611055395,146,38,74.704280155642,20.8430554179662,27.9007513017204,0.538847616507604,180,33,120.999722067815,30.3730169000056,25.101724517171,0.356419189487775,0.693548387096774,-0.0789473684210526,0.288730432547728,0.149467088826224,51.7670020119949,0.503771392118958,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.5,1122,"911","extreme","none",2165.96227191714,14.8203645882866,45.2803650385567
71,177,19,85.2507645259939,37.9003868629295,44.4575331067832,0.436106069013821,167,30,90.0886850152905,32.1592806148759,35.6973582303011,0.468860482514401,149,36,75.1053655824298,21.8427810015357,29.0828502493112,0.592787309284382,184,21,117.589936057826,41.2351775225776,35.0669274131588,0.498265941847035,0.664804469273743,-0.188405797101449,0.17668336327505,0.117285018857058,66.3814728693362,0.577856659759792,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.25,302,"911","extreme","none",2068.13016559426,0.111359699971877,151.710144251878
