"sample_id","x_ctr","y_ctr","weather","prev_fire","date","rdnbr","elev_m","slope_deg","aspect_deg","zmax","zmean","zcv","zp10","zp25","zp50","zp75","zp90","zp99","zfcc","zfsc"
11,519184.598730148,4874437.33784008,"moderate","none","815",1113,2458.49419892943,13.8502475406425,275.41146560115,"23.9","6.69608012994044","81.1169153339042","0.21","0.83","6.61","10.87","13.99","19.0707","61.1154345006485","23.7354085603113"
12,520041.939408201,4869671.46948905,"moderate","none","830",917,2269.01191274282,12.2538728988187,270.472234503883,"34.43","12.3974764826176","72.246421716612","0.29","4.925","11.64","19.61","24.94","30.33","75.1826484018265","15.5251141552511"
13,518079.661073503,4875623.93799286,"moderate","none","829",1096,2341.5198097897,15.913326741871,223.412828383739,"24.55","8.37904047976012","93.551985204117","0.12","0.27","6.94","15.8225","19.363","22.7333","50.7605235231694","30.4916873010258"
14,519720.826679971,4874703.85363364,"moderate","none","817",346,2366.77140991211,18.5120789692938,21.5323762614263,"27.12","13.2801256918819","59.9031032139917","0.26","6.83","15.51","19.7","22.179","25.12","79.1326127076193","15.1199578170314"
15,519475.104972526,4872819.15912104,"moderate","none","821",1110,2218.49224962845,8.04434736090952,252.466439358993,"33.36","8.16129551451187","90.5401263511891","0.27","1.45","6.73","12.4925","19.001","29.1433","70.8166761850371","21.0736721873215"
16,518012.569931637,4874523.98596483,"moderate","none","815",1301,2329.11948720654,16.1918902021795,128.717942689804,"25.66","8.9648755955532","66.199212128896","0.31","3.67","9.41","13.47","16.944","21.197","79.0303272146848","12.8890662410215"
17,520977.580899668,4872573.10046145,"moderate","none","821",778,2324.94493801746,37.5127741197211,85.1700057038923,"33.56","7.10262528473804","121.453456371941","0.16","0.57","2.88","10.25","22.15","31.3731","51.0859994129733","39.0666275315527"
18,521700.390946295,4869782.96043155,"moderate","none","830",1207,2151.82746563766,17.180029103552,343.771339593945,"34.54","9.62296626506024","96.6312381312886","0.36","1.7","6.16","16.71","24.842","31.1402","68.6313553697066","23.6028142838179"
19,518669.740200568,4871572.04718067,"moderate","none","826",358,2493.52492913225,24.2146749460169,98.9510765838067,"38.6","16.1105144508671","62.5845685558545","1.299","7.405","16.72","24.3","29.46","35.5553","82.4584542337114","10.7227644420997"
20,516863.489841925,4872950.10072576,"moderate","none","830",282,2218.28713713158,9.39878160890224,163.744330364269,"18.89","4.66469249201278","109.55863914577","0.11","0.19","2.24","9.0475","12.847","15.9685","41.3106444605358","40.1520637219406"
21,518568.687145304,4874097.68958366,"moderate","none","821",444,2243.24377777941,31.8799077076079,259.384240702855,"21.34","4.06761135857461","95.0307834025219","0.1","0.4","3.47","6.5225","8.81","16.1105","43.4226804123711","25.0309278350515"
22,517590.104480798,4873549.31396388,"moderate","none","821",669,2279.86235900879,17.886179964711,135.904369171864,"28.71","10.1296430367019","74.8898859584983","0.22","3.1","10.34","15.5625","20.72","26.8092","69.2820512820513","17.8461538461538"
23,519005.812355831,4870808.35030841,"moderate","none","830",768,2672.154311413,23.5381900986782,290.302406761149,"27.07","10.2125040358744","72.7563573681104","0.37","3.145","9.86","16.94","20.426","23.7752","73.2766943425372","16.6634485421896"
24,522700.498944559,4870576.84130134,"moderate","none","826",128,2076.44528478674,6.59744682484547,348.124680240496,"19.64","1.28069734151329","244.814376245881","0.06","0.13","0.22","0.46","3.976","15.2596","3.23159784560144","24.5362058647516"
25,519106.427453675,4872458.1727988,"moderate","none","826",722,2324.79669325033,17.769102975432,60.0774651957438,"35.39","14.3351666951616","74.4630448717362","0.32","2.67","14.89","23.7","28.4","33.3804","70.3828605435429","19.1628645110097"
26,520314.892989856,4874041.51737581,"moderate","none","815",65,2422.43300533982,18.1927549000489,53.6066424320893,"28.14","12.7249161094992","60.2194384059346","0.31","6.445","13.71","19.13","22.41","25.8274","79.7763280521901","11.6895220343496"
27,523972.258586557,4869870.71313223,"moderate","wilcox","826",281,2089.22393371582,13.355409255666,56.214363790073,"9.03","0.598432850241546","202.053772766476","0.07","0.139","0.23","0.36","1.35","6.23789999999999","4.83063328424153","55.5522827687776"
28,518860.319525564,4869817.10097926,"moderate","none","909",161,2686.39872757581,13.9839358857334,81.7479820452098,"28.48","10.461813530415","64.6605906764655","0.35","5.3","10.36","15.5","19.23","26.56","75.7117954677513","11.4080960681774"
29,521639.058622931,4868078.91651286,"moderate","none","901",279,2562.39399182707,17.4006891049725,40.1465534775412,"42.48","11.8657558708415","94.1857340007249","0.17","0.53","9.745","21.2325","28.44","37.4813","54.4396256562429","27.7790458799361"
30,519250.635351677,4873267.72277951,"moderate","none","821",495,2234.93560382404,24.2519419590873,227.401317294659,"24.06","7.81046453006842","82.196406256041","0.19","2.1","6.79","12.09","17.334","22.6048","59.086491739553","15.4195011337868"
31,520087.49125332,4870525.86309567,"moderate","none","826",488,2418.94822522718,23.3016023344738,121.997129349124,"34.01","10.8001753236113","82.2932895311591","0.32","2.65","9.4","17.51","24.436","30.9096","69.9286087410761","19.55423994428"
32,519364.33165843,4869715.4037919,"moderate","none","829",640,2540.11130674987,19.488635611101,104.813269921218,"27.88","8.9781385060405","70.4986559050633","0.27","3.8","8.93","13.86","17.05","23.3124","70.1060917180014","15.9650924024641"
33,520676.620034406,4877669.48695091,"moderate","none","901",101,2261.05475620289,4.9661593599903,53.3265027573195,"30.53","11.3121370967742","79.1822111098513","0.17","0.49","12.785","19.74","22.348","25.5583","49.3812838360402","21.3457076566125"
34,516743.705928767,4873506.02735894,"moderate","none","917",15,2380.5398574293,17.9917656015679,135.677783680449,"27.24","14.4245044227716","50.5713612968464","0.53","9.8","16.09","20.3","22.59","24.99","82.9569327731092","7.09033613445378"
35,523856.578158825,4868884.17519359,"moderate","none","901",75,2124.94579591896,12.4737174628188,69.2424026118795,"12.53","2.04615658362989","126.632100672202","0.09","0.17","0.45","3.4","5.89","11.14","17.7071509648127","28.94438138479"
36,522014.675171543,4870861.49028378,"moderate","none","829",426,2203.78674317628,33.0102938520495,134.024408138454,"28.09","6.94456406368461","109.542475512454","0.07","0.32","2.865","13.19","17.926","26.3489","35.6102003642987","33.1815421979356"
37,522027.031233939,4869078.31795284,"moderate","wilcox","831",1046,2352.02560309967,18.0631148621933,69.233580672045,"25.41","3.86359773371105","181.166118361054","0.08","0.2","0.39","1.99","18.454","23.2896","7.52493200362647","23.2094288304624"
38,520785.326364496,4870545.65831619,"moderate","wilcox","828",498,2287.74108806088,17.7394202252524,158.897927106268,"17.85","1.19308013355593","285.098627335466","0.02","0.11","0.22","0.42","0.96","16.3206","4.14746543778802","49.6774193548387"
39,520917.193571889,4873138.43317916,"moderate","none","821",91,2255.74552084145,22.509253531902,85.5003380460677,"24.46","11.9319705989552","53.480886072097","0.39","7.73","13.13","16.875","19.51","22.507","85.9906129995733","7.85094581140663"
40,520922.255773085,4873865.4363856,"moderate","none","817",216,2287.3712878418,13.3843893056786,107.228546115725,"22.93","11.8966691757621","57.0799621668699","0.53","6.15","13.67","17.7","19.74","21.67","85.0337144532395","8.19407798299619"
41,520167.230089823,4873443.20877698,"moderate","none","821",262,2507.31014509738,16.5606911955679,82.1877201079923,"19.36","5.71475381008206","74.8790399563232","0.19","2.7125","5.31","8.015","11.305","17.867","52.5268603263032","12.8929566255472"
42,521487.904218671,4870535.95859205,"moderate","none","830",501,2203.09675090434,31.3277119788183,162.566151397214,"19.01","2.05629475437136","210.965370445591","0","0.14","0.37","0.92","9.31","17.1698","11.6001257466206","60.7670543854134"
43,519635.646601322,4870302.99631163,"moderate","none","827",1044,2532.13563160328,17.6353416322526,120.031933070501,"26.88","11.0182239218186","65.9545350575125","0.356","4.81","10.94","17.39","20.7","24.4988","73.7173717371737","12.3762376237624"
44,521162.537353911,4868578.26675774,"moderate","none","917",16,2513.3835767397,9.68115167707195,25.2150113470084,"32.07","11.6537917816621","76.5147066053703","0.17","1.8825","11.87","18.2775","23.89","29.7679","66.8825161887142","21.1224175146469"
45,518334.23647133,4871004.53588461,"moderate","none","917",109,2652.0338611221,19.8967863144683,41.9050244226841,"33.5","13.6071957964602","68.931946674336","0.603000000000001","4.7175","13.995","21.96","26.027","30.6354","75.6159191408718","12.8869235628553"
46,519542.168805492,4873919.07802141,"moderate","none","815",1206,2523.33832750822,6.41788252820397,305.711147199198,"24.09","6.91241451500349","83.5787485565449","0.3","1.55","5.71","11.33","15.678","20.1445","68.4819097351734","23.7784408802686"
47,523253.210258542,4870361.87429148,"moderate","wilcox","827",531,2158.45441100109,9.45830341399547,232.279378159681,"23.68","1.94802127659574","252.826659342147","0.1","0.16","0.26","0.46","7.775","20.9637","5.02114164904863","42.1775898520085"
