"sample_id","x_ctr","y_ctr","weather","prev_fire.x","date","rdnbr","elev_m","slope_deg","aspect_deg","TPH_trees","BA_m2_ha","CC_pct","CH_m","CFL_kg_m2","CBD_kg_m3","CBH_m","CWD_cover_pct","CWD_Mg_ha","Shrub_cover_pct","Shrub_ht_m"
18,521700.390946295,4869782.96043155,"moderate","none","830",1207,2151.82746563766,17.180029103552,343.771339593945,1049.09508321649,29.7871538726738,52.9270954067437,25.8718626122918,1.17093317398176,0.0857256453354736,0.530602422379553,16.1943093697718,106.847914268045,52.8643853129673,0.725595807359262
19,518669.740200568,4871572.04718067,"moderate","none","826",358,2493.52492913225,24.2146749460169,98.9510765838067,2258.7579411105,46.5793676809676,44.9154942110966,32.4944686440145,0.779382091843769,0.0212071065522194,1.55778226450975,3.88605369372853,134.243215655938,0,0.128395210277475
20,516863.489841925,4872950.10072576,"moderate","none","830",282,2218.28713713158,9.39878160890224,163.744330364269,1170.61601798668,7.74077402759398,39.9067617750695,11.4984523936391,0.0456890113666349,0.0353077406070672,1.46443207252436,3.42549909633125,46.5338368050067,0,1.24959415175329
21,518568.687145304,4874097.68958366,"moderate","none","821",444,2243.24377777941,31.8799077076079,259.384240702855,1596.84881687885,11.376348612602,38.614867353291,13.8491867317903,1.67680954255919,0.207469118148402,0.246513968810746,6.58005799733375,36.2204249136889,41.2762268067689,1.06700266987326
22,517590.104480798,4873549.31396388,"moderate","none","821",669,2279.86235900879,17.886179964711,135.904369171864,2552.20535552406,29.6095884473492,43.6442389324009,24.1834951683423,1.20865048019065,0.114047908878362,0.264640290989335,7.58746554743682,220.744250516959,3.0206341277319,0.610396836988631
23,519005.812355831,4870808.35030841,"moderate","none","830",768,2672.154311413,23.5381900986782,290.302406761149,1456.27947471015,31.419819693626,44.4122793596969,24.223369744378,2.1913403464089,0.16398378610438,0.195223763073449,7.28513334732648,54.3224325051366,56.3508964563875,0.901599488766293
24,522700.498944559,4870576.84130134,"moderate","none","826",128,2076.44528478674,6.59744682484547,348.124680240496,248.177791157916,2.74594584209829,16.2718174703285,2.29781655472658,0.774187751109704,0,5,38.9503836773915,300,1.45505775633216,0.472059774300176
25,519106.427453675,4872458.1727988,"moderate","none","826",722,2324.79669325033,17.769102975432,60.0774651957438,1402.04156901277,30.4258163734429,36.0964861091053,25.7384039905699,1.32759324548224,0.0956240503385628,0.0817708955538456,13.0736472483037,89.3295783173936,25.6936277217012,1.14574342529706
26,520314.892989856,4874041.51737581,"moderate","none","815",65,2422.43300533982,18.1927549000489,53.6066424320893,417.971163336815,35.5862310938964,58.3371859196506,27.9078374897717,2.29895185258516,0.232532314658519,0.0209517027341476,5.66910424695246,21.8667609518483,50.9488675677174,0.17272969154224
27,523972.258586557,4869870.71313223,"moderate","wilcox","826",281,2089.22393371582,13.355409255666,56.214363790073,1090.21915598531,0.134623758178089,26.3110232946327,4.70988536692575,0.000372443965203876,0.0476442545659027,2.42235312189042,24.1373379501238,300,15.8302980047715,1.54093698286019
28,518860.319525564,4869817.10097926,"moderate","none","909",161,2686.39872757581,13.9839358857334,81.7479820452098,2288.09481645489,34.1486095283531,49.9719119320781,23.2718592293498,1.16664900885935,0.0674024044907053,0.671449610334646,4.35225423990893,65.4308085939687,13.6929399381729,0.697011361106435
29,521639.058622931,4868078.91651286,"moderate","none","901",279,2562.39399182707,17.4006891049725,40.1465534775412,1480.94074253467,18.4258171926941,25.1567184826867,25.7431125827123,0.927503610109377,0.0383218979388418,0.591317314213824,5.35211289514397,103.541216897336,44.3142868951715,0.556191136865893
30,519250.635351677,4873267.72277951,"moderate","none","821",495,2234.93560382404,24.2519419590873,227.401317294659,452.682463737692,15.5494531457417,47.8696594893708,15.9243375875854,0.365067437917216,0.0567778839490484,1.08751882128211,4.59723569145418,35.1263311619932,15.558515250419,1.06964180877929
31,520087.49125332,4870525.86309567,"moderate","none","826",488,2418.94822522718,23.3016023344738,121.997129349124,4619.40886976863,32.5896661892709,37.7536145771128,24.5175767815903,0.650772096177065,0.0555601598779855,0.379697437054805,10.9324197661335,193.422618687563,0,0.538281686322672
32,519364.33165843,4869715.4037919,"moderate","none","829",640,2540.11130674987,19.488635611101,104.813269921218,1590.9114042022,22.1788020559775,28.5369259439696,18.6791438387793,0.579987473269144,0.0456865893145956,1.17486112382094,6.09693965871962,300,0,1.1496231020955
33,520676.620034406,4877669.48695091,"moderate","none","901",101,2261.05475620289,4.9661593599903,53.3265027573195,1335.94628563355,24.1179297161924,31.9278507351121,24.7337951384461,1.27967898586488,0.0834016601048809,0.344958274525098,8.75299844079026,41.2369943824847,30.4870868195223,0.812329071206255
34,516743.705928767,4873506.02735894,"moderate","none","917",15,2380.5398574293,17.9917656015679,135.677783680449,3462.7709826511,48.8118720986919,61.9647357323724,30.7539530703597,1.24009738778779,0.08451250670372,0.491414215646688,0.06634820297689,53.9167683971215,0,0.204942493513878
35,523856.578158825,4868884.17519359,"moderate","none","901",75,2124.94579591896,12.4737174628188,69.2424026118795,1630.31194048005,3.93981220860745,38.1367035998054,7.99995915441412,0.371525966605931,0.130012365238999,0.527404276489946,16.1289007538896,80.1684789365176,10.5368343635778,0.910090946546554
36,522014.675171543,4870861.49028378,"moderate","none","829",426,2203.78674317628,33.0102938520495,134.024408138454,202.509540228725,3.32276378837634,1.75849376593806,11.5736681790527,0.434607154741339,1.53219569207464e-05,2.73820746706762,2.27866064937705,66.9352095656696,0,1.38370944649252
37,522027.031233939,4869078.31795284,"moderate","wilcox","831",1046,2352.02560309967,18.0631148621933,69.233580672045,1024.80993088561,0.00329761118150637,0.337978651853504,7.26961632883549,0.122504153087664,0.00146419193020948,3.17219521614206,16.7405832819988,259.40448979832,13.9664531569896,0.811866308523105
38,520785.326364496,4870545.65831619,"moderate","wilcox","828",498,2287.74108806088,17.7394202252524,158.897927106268,9019.12182280052,0.322423746144752,33.9295617665029,6.83793814825298,0.241680748120152,0.0335933968300437,1.14884271344925,50,300,0,0.876248949354024
39,520917.193571889,4873138.43317916,"moderate","none","821",91,2255.74552084145,22.509253531902,85.5003380460677,1223.1971834415,55.0870285853115,84.0338271823353,29.3394305676097,1.56480770653821,0.0938161696929124,1.09835231306173,6.49093955721867,27.7240464127456,16.207225379899,0.146026789624216
40,520922.255773085,4873865.4363856,"moderate","none","817",216,2287.3712878418,13.3843893056786,107.228546115725,1276.88406484878,44.7636212335245,78.3186956516116,24.1646085263579,0.961050060754655,0.118014700649483,0.348311191699362,4.66082006464466,34.4814901634031,0,0
41,520167.230089823,4873443.20877698,"moderate","none","821",262,2507.31014509738,16.5606911955679,82.1877201079923,705.593614533987,20.7243136650986,44.2324540969539,19.6731954530048,1.2938591629407,0.175625631544202,0.315191736099723,1.71322870504947,55.306980302842,22.1347440163164,0.540912766427314
42,521487.904218671,4870535.95859205,"moderate","none","830",501,2203.09675090434,31.3277119788183,162.566151397214,850.316480875842,0.296762314159689,6.4457288264379,5.09076575389569,0.792204396720788,0.00640887933854335,1.31508584323021,47.2304773808311,300,0,1.81825485199283
43,519635.646601322,4870302.99631163,"moderate","none","827",1044,2532.13563160328,17.6353416322526,120.031933070501,2454.15075353658,34.8692739390081,57.2283445752484,23.4068116744119,0.900056836212658,0.0447786111707344,1.59838459643738,6.29194057669103,63.1506659263851,0,0.307078699349489
44,521162.537353911,4868578.26675774,"moderate","none","917",16,2513.3835767397,9.68115167707195,25.2150113470084,1145.01237417208,24.6695876625578,37.7638319059122,25.0011399846848,1.53455491673978,0.101509107974908,0.187671665618569,7.76483812223775,27.4181256547288,48.5957344498798,0.675053386310463
45,518334.23647133,4871004.53588461,"moderate","none","917",109,2652.0338611221,19.8967863144683,41.9050244226841,1394.11732972258,31.9400110673507,42.4076599002253,26.7432239193616,1.72722241989122,0.127920266584078,0.0920884166305129,5.06547262587509,76.4935924443442,33.3334992986579,1.01509119219326
46,519542.168805492,4873919.07802141,"moderate","none","815",1206,2523.33832750822,6.41788252820397,305.711147199198,3225.80470208251,34.3755981535999,61.8751856370528,22.0908088970252,2.0122564250286,0.189026834033437,0.30395503682559,14.5979306206684,63.1396265668859,51.6939585200865,0.889157924989006
47,523253.210258542,4870361.87429148,"moderate","wilcox","827",531,2158.45441100109,9.45830341399547,232.279378159681,403.960476589115,2.27507884249019,0,4.26448452933701,0.875880319042904,2.71070035661331e-06,3.98132363407188,29.938035168662,300,5.83654550954668,1.26751530405247
48,524156.315834783,4869294.75946167,"moderate","none","917",158,2080.3013661565,14.7901171698999,111.835026751516,180.825889975163,0.205885674957866,0,7.61907708772802,0.357358384422268,0.000364997742577382,2.90934066880943,12.21812459596,119.077735609065,0,0.883426698281067
49,516461.102786006,4874126.94729032,"moderate","none","917",8,2531.87391540527,11.3722452636984,129.489920629316,6008.78900767535,34.3714760905182,59.7403084613034,21.4262477188064,1.18835876972038,0.143792398289353,0.135554605276382,4.06151652482054,106.748768005416,2.42787287788648,0.478220480338176
50,525753.589946821,4874903.66709914,"moderate","none","917",0,2196.98252306888,15.1792703579189,79.0696022449584,4155.01275069453,16.2962353165193,37.6715583135718,17.6872173697021,0.972408343682991,0.0971639417589061,0.589052632021243,15.9461179322875,115.547467149001,30.7294966200044,0.778806559244512
51,520772.660204961,4868728.28397629,"extreme","none","911",1279,2526.77105819436,17.7828970208272,10.6749728171116,1106.64769539516,34.0431498292254,60.7793111249683,21.2658067682479,2.02843279820608,0.131303107469111,0.447534443534738,7.50654590135367,11.1687816023643,67.9691942519173,0.667570395280609
52,521421.45082158,4879482.18227085,"extreme","none","911",815,2143.96801022434,10.75078218702,86.6644008109342,1384.4890062244,18.5239503764363,38.943163348663,22.7802706951128,0.976437081963589,0.0774600642237865,0.629877585271206,10.2963159403087,67.3397370184484,33.150345864087,0.763657278741449
53,519966.733755356,4871656.49253898,"extreme","none","824",270,2267.01218162538,26.739794956473,348.837656466331,211.636685471478,16.0322932960754,23.9537151260809,26.6285324909354,1.55271801589872,0.0720078641208634,0.396727329843919,12.3674740518604,26.4450241715785,97.8992335559276,0.935418275624781
54,524150.814283505,4877100.59189893,"extreme","none","822",1264,2268.01898193359,6.90434696346323,168.427554742988,3973.96264854223,21.9074286478006,42.7327662886838,18.6598907834713,0.737404050025092,0.110979845380829,0.214242271376617,13.7243598318965,140.85947185175,19.1979482464849,0.653011978709168
55,524445.755876341,4877540.75248872,"extreme","none","822",1008,2270.23199542935,8.696977139592,164.998732704825,2551.71183231529,25.7061670429652,40.4197059690932,21.1882637556892,1.15286776813213,0.142167598116894,0.11205146409799,6.51826828070965,150.974855804828,4.67744608227432,0.545688090250524
56,523737.271164839,4877398.15137541,"extreme","none","822",1255,2402.22430664062,14.1075484263355,346.03763270231,1512.89521519823,16.1360532345473,38.3675097003987,15.4940207544245,1.48860900354717,0.100393338676293,0.643315698165305,4.9822840149832,24.2378000455453,40.6778575116573,0.734363455312057
57,521323.45687401,4878195.66436228,"extreme","none","911",406,2186.41617847501,4.06210406437788,167.939226856676,912.720148865594,30.0540134074925,56.9440863444106,24.5679595667632,1.51182999384418,0.0927462015405655,1.05413857978774,0,14.6847291157948,20.2461090042297,0
58,523303.935447235,4881989.82807256,"extreme","glade","911",893,2099.33526535224,2.86244661039845,116.578639626954,1015.31919454924,0.0693735924818772,35.8674186746541,0,0.00262161402813163,0.0225337633932764,2.72302961693497,4.23709608324305,7.07353390650985,3.11786332347405,1.02244624481795
59,522289.312583275,4876926.50812947,"extreme","none","822",630,2068.20936947312,12.983386451047,104.639564392438,663.668575498146,5.67396325042772,21.3853209749921,8.19723675436299,0.466089525272019,0.0524913759489527,2.50027149247992,8.66416383496125,19.2792378179136,22.0325152484642,0
60,520022.369829781,4871120.68033396,"extreme","none","824",1227,2548.5479953546,31.2766640728741,34.4424689765404,951.993840332848,35.9941281819164,39.0259535696328,33.4449297792638,1.34393203551688,0.0352530040317935,0.781737120824902,6.91332796877845,24.2496635249885,44.7958575112457,0.58649215124569
61,522300.184772193,4871360.59482037,"extreme","none","822",543,2163.16368713379,25.010605713077,71.6741700716925,416.593244430109,0.0722827698310426,7.18439183482168,4.06581640709851,0.452639255305992,1.68433268192311e-05,4.27517877131786,15.345923001003,258.601079581032,0,0.709920506963082
